word,frequency
us,1269
u.s,856
china,785
world,745
war,731
new,703
iraq,700
iran,684
says,665
israel,631
russia,589
uk,578
pakistan,522
police,498
government,444
people,426
attack,409
israeli,394
bush,370
killed,367
