word,frequency
israel,1477
us,1263
new,989
world,986
china,935
iran,910
war,872
israeli,826
people,784
government,765
police,756
says,668
one,644
gaza,637
wikileaks,627
killed,608
uk,592
years,570
afghanistan,561
south,553
