word,frequency
new,1648
libya,1644
egypt,1508
government,1463
china,1450
nuclear,1407
says,1398
police,1374
us,1317
japan,1305
people,1292
world,1281
news,1275
president,1186
killed,1163
protesters,1130
israel,1079
iran,1049
protests,1042
syria,1033
