word,frequency
says,5650
china,4744
new,4609
us,4391
russia,4106
isis,3759
syria,3524
state,3374
russian,3136
u.s,3106
police,2929
killed,2902
world,2865
iran,2744
islamic,2613
attack,2587
president,2514
government,2460
people,2380
said,2379
