word,frequency
syria,3682
us,2456
china,2282
new,2161
iran,2052
says,1775
news,1641
police,1605
president,1509
government,1433
world,1322
israel,1229
killed,1225
people,1212
war,1023
south,1013
nuclear,1011
attack,997
said,991
