word,frequency
china,2282
syria,2182
new,2161
iran,2052
says,1775
news,1641
police,1605
syrian,1561
president,1509
government,1433
us,1428
world,1322
israel,1229
killed,1225
people,1212
|,1167
u.s,1056
war,1023
south,1013
nuclear,1011
