word,frequency
us,1269
u.s,856
china,785
world,745
war,731
new,703
iraq,700
iran,684
says,665
israel,631
russia,589
uk,578
pakistan,522
police,498
government,444
people,426
attack,409
israeli,394
bush,370
killed,367
georgia,366
oil,364
president,353
military,348
one,344
man,341
british,335
,324
russian,323
news,319
nuclear,318
years,318
dead,318
may,315
india,311
south,305
chinese,303
food,286
death,285
troops,272
zimbabwe,270
two,262
gaza,256
first,255
crisis,254
afghanistan,251
global,245
attacks,244
children,241
rights,240
