word,frequency
israel,1477
us,1263
new,989
world,986
china,935
iran,910
war,872
israeli,826
people,784
government,765
police,756
says,668
one,644
gaza,637
wikileaks,627
killed,608
uk,592
years,570
afghanistan,561
south,553
korea,550
,548
north,538
president,537
nuclear,531
news,528
u.s,525
two,497
british,485
attack,483
said,483
military,482
country,481
pakistan,478
death,454
first,442
russia,430
could,420
minister,413
haiti,392
state,389
afghan,385
may,382
palestinian,368
would,367
iraq,366
un,366
dead,364
man,362
oil,361
